,coef,std_err,t,p,p_adj_fdr,sig_fdr_05
max_temp_z_lag1,-235.20101477161626,97.92988742367466,-2.4017286342224073,0.01631780836796505,0.29884030917625204,False
max_heat_intensity_z_lag1,78.0384253365872,32.96861618468449,2.3670518926068786,0.01793041855057512,0.29884030917625204,False
winter_mean_snow_density_z_lag1,-36.57689895691022,14.93051201931014,-2.449808747992304,0.014293211116197656,0.29884030917625204,False
mean_annual_rsn_z_lag1,20.499676396042922,10.599976708468747,1.9339359849408828,0.053120999051400775,0.6640124881425097,False
ozone_mean_z_lag1,17.248344913891913,11.622896916073252,1.4839970653133174,0.1378096991453855,0.7656094396965861,False
runoff_days_z_lag1,24.92791958696967,15.16345963611183,1.6439467103934347,0.10018721041468917,0.7656094396965861,False
drought_episodes_z_lag1,-12.760025582045687,8.097262564604208,-1.5758443647145577,0.1150616752695816,0.7656094396965861,False
max_monthly_wind_speed_z_lag1,-3.3078389942804325,2.1777549798937517,-1.5189215613419538,0.12878224106186573,0.7656094396965861,False
anomaly_cold_days_z_lag1,1.9347357243969843,1.1377582995445303,1.7004804317151556,0.08904059409484522,0.7656094396965861,False
min_monthly_soil_moisture_z_lag1,7.395116130112539,7.886410415924789,0.9377036877487134,0.34839670814934964,0.9050675299776358,False
mean_cold_area_z_lag1,695.1971024520071,896.507641422046,0.775450280991784,0.43807363374624575,0.9050675299776358,False
health_exp_z_lag1,7.133023113717167,7.506485927667719,0.9502479832042278,0.341986262701672,0.9050675299776358,False
mean_sensible_heat_z_lag1,30.857587826131933,41.431183336433115,0.7447913706823059,0.4563978523829111,0.9050675299776358,False
city_z_lag1,-20.73320832929535,30.68039082483166,-0.6757804503753126,0.4991800486309468,0.9050675299776358,False
mean_annual_net_thermal_z_lag1,55.45012410472097,62.6073778514874,0.8856803464322633,0.37578980186234157,0.9050675299776358,False
mean_soil_moisture_z_lag1,37.724137455771995,55.41708806760661,0.6807311385569388,0.4960416294484882,0.9050675299776358,False
anomaly_heat_days_z_lag1,6.868321154296245,5.2999072035462165,1.2959323419286641,0.19499879555949184,0.9050675299776358,False
annual_freeze_burden_z_lag1,-711.0485427850402,889.4558353961266,-0.7994197288821753,0.42404707447698,0.9050675299776358,False
pm25_mean_z_lag1,-5.818644770596577,9.10882117490147,-0.6387922936317296,0.5229580622432712,0.9050675299776358,False
max_rolling_heat_stress_z_lag1,2.3107096246278753,3.6506854158047664,0.6329522709966223,0.5267648118135952,0.9050675299776358,False
mean_temp_z_lag1,35.603306006964246,42.625932931350135,0.8352498950416883,0.40357702205204626,0.9050675299776358,False
annual_heat_intensity_sum_z_lag1,-4.69836912240004,5.7086055853263495,-0.823032709507368,0.41048939277683094,0.9050675299776358,False
heavy_rain_days_z_lag1,-6.27055216852547,8.871114493980096,-0.706850551053156,0.47965935625217326,0.9050675299776358,False
pm25_uncertainty_z_lag1,2.6329120166538567,3.091953960799271,0.8515366173088968,0.3944713314826629,0.9050675299776358,False
extreme_rain_days_z_lag1,-1.643754109841229,1.6353649857668215,-1.0051298175926604,0.31483434394244214,0.9050675299776358,False
extreme_heat_episodes_z_lag1,-11.297578831843273,11.623856369467083,-0.9719303536405648,0.3310851979768724,0.9050675299776358,False
pressure_variability_z_lag1,1.8919430679843694,2.178970309017443,0.868273909082083,0.38524440182259523,0.9050675299776358,False
gdp_z_lag1,8.723806008222457,10.650658556880874,0.8190860651134506,0.4127373117208819,0.9050675299776358,False
mean_latent_heat_z_lag1,-1830.3110938476693,3009.2833395102402,-0.6082215887805207,0.5430405179865815,0.9050675299776358,False
no2_mean_z_lag1,-8.494687085661166,7.243105676668538,-1.1727962375344345,0.24087752731252143,0.9050675299776358,False
ozone_uncertainty_z_lag1,2.0213206094419247,3.816476240008008,0.5296300781994868,0.596368435823397,0.9456017389597299,False
mean_annual_net_solar_z_lag1,54.50485357782699,105.43370724190132,0.5169585230724558,0.6051851129342272,0.9456017389597299,False
mean_annual_wind_speed_z_lag1,-1.9004887304846345,4.006418964397871,-0.47436095609892387,0.6352425303575788,0.9624886823599679,False
no2_uncertainty_z_lag1,-15.336681244684101,97.94850914868275,-0.15657901664846682,0.8755766408271166,1.0,False
total_tropical_nights_z_lag1,-0.39502988423185365,3.5104727523227903,-0.11252897034180723,0.9104040006051634,1.0,False
annual_cold_intensity_sum_z_lag1,0.332638933913324,1.4713542428340913,0.22607671506258203,0.8211417544648499,1.0,False
mean_extreme_area_z_lag1,106388202.72653028,,,,1.0,False
mean_dry_area_z_lag1,62.018733045311265,191.4954033805188,0.32386538763060746,0.7460399494988836,1.0,False
mean_caution_area_z_lag1,-106388335.97358727,,,,1.0,False
max_year_precip_z_lag1,-0.4482660766048103,1.960050311503348,-0.22870131137653943,0.8191010754710671,1.0,False
max_runoff_z_lag1,0.6072739108363285,2.505283623062804,0.24239727001205286,0.8084723495288153,1.0,False
heat_episodes_z_lag1,0.46667053949023085,18.59452902670485,0.02509719599888838,0.979977436747912,1.0,False
extreme_area_z_lag1,-106732842.76590264,,,,1.0,False
evap_deficit_z_lag1,-19799.219154852442,3901407.420992027,-0.005074891447717094,0.9959508398468216,1.0,False
caution_area_z_lag1,106732992.35207981,,,,1.0,False
annual_total_evap_z_lag1,11065.983575167367,2040164.1597368943,0.005424065275509237,0.9956722432806776,1.0,False
annual_potential_evap_z_lag1,-22322.63286396442,4331440.222153182,-0.005153628289684146,0.9958880177578479,1.0,False
annual_dry_area_z_lag1,-21.0972870445528,196.16256364623493,-0.10755001694716959,0.9143526476071634,1.0,False
min_temp_z_lag1,4.042121706917614,9.843784284147224,0.41062680674821256,0.6813462042099054,1.0,False
rural_z_lag1,3.1513443407622628,8.586173488263723,0.36702546775577916,0.7136000211643727,1.0,False
